Entidad;Objeto;FNA;GNA;NAM;SAG;LIMa_100k_;FDC;Escala;created_us;created_da;last_edite;last_edi_1;Pais_100KR;SHAPE_STAr;SHAPE_STLe
0;Pa°s;Islas del Canal (GBR);;Islas del Canal (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,023743971;1,286070929
0;Pa°s;Gibraltar (GBR);;Gibraltar (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000369676;0,085998694
0;Pa°s;Guam (USA);;Guam (USA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,047093815;1,178240708
0;Pa°s;Islas Heard (AUS);;Islas Heard (AUS);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,052953978;1,41228219
0;Pa°s;Isla de Man (GBR);;Isla de Man (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,079185545;1,409961328
0;Pa°s;Islas de Chagos (GBR);;Islas de Chagos (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,004016279;1,171956487
0;Pa°s;Irlanda;;Irlanda;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;9,334048002;48,24203585
0;Pa°s;Jap¢n;;Jap¢n;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;38,17138308;155,1139965
0;Pa°s;Jamahiriya µÅrabe Libia Popular y Socialista;;Libia (Jamahiriya µÅrabe Libia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;147,8943325;58,14068381
0;Pa°s;Gran Ducado de Luxemburgo;;Luxemburgo;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,325538937;2,960063134
0;Pa°s;ex Rep£blica Yugoslava de Macedonia;;Macedonia;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;2,741446103;7,619170423
0;Pa°s;Montenegro;;Montenegro;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1,51025412;7,910600326
0;Pa°s;Mongolia;;Mongolia;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;184,6029874;85,72407244
0;Pa°s;Islas Marianas Septentrionales (USA);;Islas Marianas Septentrionales (USA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,048995147;2,9050046
0;Pa°s;Malasia;;Malasia;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;26,70317173;68,45686927
0;Pa°s;Nueva Caledonia (Francia);;Nueva Caledonia (Francia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1,649069668;18,10354074
0;Pa°s;Islas Niue (Nueva Zelandia);;Islas Niue (Nueva Zelandia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,018930655;0,581958379
0;Pa°s;Sultan°a de Om†n;;Om†n;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;26,98299948;35,41069262
0;Pa°s;Pitcairn y Dependencias (GBR);;Pitcairn y Dependencias (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,003789305;0,390317874
0;Pa°s;Islas Spratly;;Islas Spratly;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000989603;0,397187297
0;Pa°s;Pap£a Nueva Guinea;;Pap£a Nueva Guinea;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;38,04366639;108,3082383
0;Pa°s;Polinesia Francesa (Francia);;Polinesia Francesa (Francia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,28139218;20,21736443
0;Pa°s;Rumania;;Rumania;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;27,38718194;31,53494155
0;Pa°s;Sahara Occidental;;Sahara Occidental;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;8,048647545;28,229362
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;8,22282E-06;0,011546084
0;Pa°s;La Rep£blica de Sud†n del Sur;;Sud†n del Sur;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;51,35561788;43,67750195
0;Pa°s;Santa Helena (GBR);;Santa Helena (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,033666262;1,489643267
